,Player_Id,Team_Id,Name,Year,Position,Games_Played,passing yards,passing touchdowns,passing interceptions,rushing yards,rushing touchdowns,fumbles,receiving yards,receiving touchdowns,receptions,kick returns,punt returns,total annual points
50,a002caf1-4c15-4b91-b352-ad87cb96b13e,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Phillip Crosby,2003,FB,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
51,b2fd07c0-2f0d-4fe5-95c3-2f666efb0bb1,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Ken Simonton,2003,RB,2,0.0,0,0,0.4,0,0,0.0,0,0,0,0,0.4
52,bba37efb-97f9-4ca6-adf0-f3ba4bc94886,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Mark Campbell,2003,TE,16,0.0,0,0,0.0,0,0,33.9,6,34,0,0,39.9
53,d4171587-f0d1-40b7-b176-6fb2f0906e1c,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Ryan Neufeld,2003,TE,16,0.0,0,0,1.4,0,0,4.1000000000000005,0,3,0,0,5.5
54,dcdef9b4-3b35-420a-8d4d-18af6a939ffb,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Josh Reed,2003,WR,16,0.0,0,0,3.8,0,-2,58.8,12,58,0,0,72.6
55,e122c17f-a727-4ee2-b0cd-6c5634550d10,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Drew Bledsoe,2003,QB,16,114.4,44,-24,2.9000000000000004,12,-30,0.0,0,0,0,0,119.30000000000001
56,f35debf3-cca8-4e98-8f15-5f381b360885,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Sammy Morris,2003,RB,9,0.0,0,0,7.0,6,0,10.0,0,14,0,0,23.0
57,f62cb4b8-32ff-42f9-a921-7041085574fc,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Dave Moore,2003,TE,15,0.0,0,0,0.0,0,-2,8.200000000000001,12,7,0,0,18.200000000000003
58,f8fe371e-bf70-49b7-8aff-fc89f858465d,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Sam Aiken,2003,WR,5,0.0,0,0,0.0,0,0,3.5,0,3,0,0,3.5
59,1c0939cc-20ff-44ad-9bd0-95c783a4b899,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Shane Matthews,2004,QB,3,1.76,4,0,-0.30000000000000004,0,0,0.0,0,0,0,0,5.46
60,285aa645-2b46-4861-ab6d-9553a61fc09b,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bradford Banta,2004,TE,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
